Block_ID,total_students,sch_BESSIE_RHODES,sch_CHUTE,sch_DAWES,sch_DEWEY,sch_HAVEN,sch_KINGLAB,sch_KINGSLEY,sch_LINCOLN,sch_LINCOLNWOOD,sch_NICHOLS,sch_OAKTON,sch_ORRINGTON,sch_WALKER,sch_WASHINGTON,sch_WILLARD,g_K_2,g_3_5,g_6_8,twi_ENG,twi_OTHER,twi_SPAN,race_BLACK,race_HISPANIC,race_MULTI,race_OTHER,race_WHITE,frl
228,20,0,0,0,0,0,9,0,0,0,2,0,0,0,9,0,6,7,7,4,0,0,2,0,2,0,16,2
229,17,0,0,0,1,0,0,0,0,0,10,0,0,0,6,0,3,4,10,0,0,0,1,3,0,0,13,6
230,35,0,0,0,0,0,3,0,1,0,9,0,0,0,22,0,15,11,9,3,0,0,0,2,3,2,28,8
231,37,0,0,0,0,0,0,0,0,0,8,0,0,0,29,0,20,9,8,13,0,3,0,5,7,0,25,0
232,19,0,2,1,7,0,0,0,0,0,9,0,0,0,0,0,4,4,11,0,0,0,0,0,2,0,17,0
233,32,0,0,0,0,0,0,0,2,0,11,0,0,0,19,0,9,12,11,4,0,3,0,3,4,0,25,6
234,10,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,7,1,2,2,0,0,0,0,3,0,7,0
235,19,0,0,0,0,0,3,0,0,0,6,0,0,0,10,0,6,6,7,2,0,1,3,3,2,0,10,2
236,12,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,9,1,2,6,0,0,0,0,0,0,12,0
237,25,0,0,0,7,0,0,0,4,0,14,0,0,0,0,0,5,6,14,0,0,0,0,0,6,0,19,0
238,22,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,8,9,5,6,0,6,2,8,3,0,9,5
239,29,0,1,0,0,0,4,0,0,0,3,0,0,6,15,0,11,14,4,0,6,0,9,2,6,0,12,16
240,47,0,6,3,4,0,6,0,0,0,12,8,0,1,7,0,11,16,20,5,0,6,29,9,5,0,4,32
241,31,2,15,14,0,0,0,0,0,0,0,0,0,0,0,0,3,11,17,2,6,5,10,15,2,0,4,23
242,12,1,3,2,0,0,2,0,0,0,1,3,0,0,0,0,3,2,7,0,0,0,2,2,2,2,5,4
243,21,6,1,0,0,0,9,0,0,0,0,5,0,0,0,0,7,11,3,0,0,1,2,2,1,4,12,12
244,12,0,1,0,0,0,6,0,0,0,0,1,0,0,4,0,4,7,1,0,0,0,10,0,2,0,0,9
245,20,0,6,6,4,0,2,0,1,0,1,0,0,0,0,0,8,5,7,3,0,1,5,1,1,0,13,10
246,12,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,2,0,5,0,4,0,3,5
247,6,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,2,0,0,1,1,2,0,2,0
248,6,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,2,0,0,1,1,2,0,2,0
249,13,0,7,1,0,0,0,0,0,0,0,5,0,0,0,0,4,2,7,1,0,0,0,3,4,0,6,0
250,13,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0,8,2,3,0,0,7,4,7,0,0,2,7
251,42,0,9,10,2,0,2,0,0,0,0,2,0,0,17,0,19,13,10,2,1,9,14,13,0,6,9,37
252,10,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,2,4,4,0,0,0,1,0,0,0,9,1
253,30,0,7,22,0,1,0,0,0,0,0,0,0,0,0,0,14,8,8,2,0,7,7,10,1,0,12,16
254,10,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,5,3,2,2,0,0,4,0,0,0,6,2
255,19,4,6,7,0,0,0,0,0,0,0,0,0,0,2,0,5,6,8,4,0,6,0,8,2,0,9,2
256,78,0,3,0,43,2,3,0,0,0,18,2,0,0,7,0,25,27,26,4,0,32,16,48,6,0,8,46
257,27,0,0,0,9,0,7,0,0,0,10,1,0,0,0,0,7,6,14,0,0,0,6,3,4,2,12,12
258,39,0,0,0,29,0,4,0,0,0,6,0,0,0,0,0,15,16,8,2,0,6,11,15,0,4,9,15
259,36,0,2,0,24,0,2,0,0,0,6,2,0,0,0,0,18,10,8,3,0,0,11,3,4,2,16,8
260,19,2,0,0,11,0,0,0,0,0,6,0,0,0,0,0,7,6,6,0,0,0,0,0,0,0,19,0
261,25,1,0,0,14,0,0,0,0,0,10,0,0,0,0,0,7,7,11,0,0,0,1,0,1,0,23,3
262,23,0,0,0,13,0,0,0,1,0,7,2,0,0,0,0,7,9,7,2,1,6,6,8,0,0,9,14
263,11,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,2,4,4,0,0,0,1,2,0,0,8,2
264,11,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,2,4,4,0,0,0,1,2,0,0,8,2
265,30,1,4,0,2,4,4,0,1,6,2,0,0,2,4,0,8,8,12,2,4,3,12,11,1,0,4,21
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,2,5,5,0,0,0,0,3,0,0,9,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,15,3,1,0,0,0,0,0,0,0,0,0,0,11,0,0,3,11,1,0,0,0,0,1,4,2,8,1
284,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
285,18,2,1,0,0,0,1,0,0,0,0,0,0,14,0,0,13,4,2,0,0,2,0,3,0,0,15,2
286,12,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,2,6,4,0,0,0,6,0,0,0,6,2
287,10,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,5,0,0,0,0,0,0,0,0,10,0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,3,0,0,0,5,0,7,0,0,1
290,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,3,6,3,2,0,0,0,0,0,0,12,0
291,10,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,10,0
292,17,0,0,0,0,6,0,0,0,10,0,0,0,0,0,1,3,8,6,1,0,0,0,2,0,0,15,0
293,29,0,0,0,0,9,2,0,0,0,0,0,0,0,0,18,8,10,11,0,0,0,0,0,0,0,29,0
294,15,0,0,0,0,7,0,0,0,6,0,0,0,0,0,2,6,2,7,0,0,0,0,0,0,0,15,0
295,33,0,0,0,0,4,0,0,0,0,0,0,0,0,0,29,14,15,4,1,0,0,2,0,8,0,23,4
296,35,0,0,0,0,6,0,0,0,0,0,0,0,0,0,29,20,9,6,4,0,0,4,0,2,0,29,0
297,13,0,0,0,0,1,0,0,0,11,0,0,0,0,0,1,10,2,1,1,0,0,0,0,0,0,13,0
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,2,0,4,0
301,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,16,0,1,0,0,5,0,2,0,2,2,0,0,0,0,4,3,5,8,0,0,7,9,7,0,0,0,13
304,70,7,0,0,2,16,4,2,0,15,4,3,2,4,2,9,22,21,27,1,3,18,40,28,2,0,0,51
305,48,2,3,0,0,4,6,0,0,21,2,5,2,0,0,3,25,9,14,0,0,0,41,2,0,0,5,35
306,43,0,0,2,0,10,17,0,0,13,0,0,0,0,0,1,13,16,14,3,2,0,31,0,9,0,3,32
307,28,5,0,0,2,11,5,0,2,1,0,0,0,0,2,0,5,9,14,0,1,9,7,14,5,0,2,23
308,21,0,0,0,0,5,0,0,0,0,0,0,0,0,0,16,5,11,5,4,0,4,0,5,2,0,14,0
309,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,13,10,3,0,0,0,0,0,0,0,26,0
310,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,6,6,7,1,1,2,5,2,0,0,12,2
311,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,2,0,4,0
312,24,0,0,0,0,11,0,0,0,0,0,0,0,0,0,13,3,10,11,0,0,0,1,0,4,0,19,0
313,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,3,6,4,0,0,0,0,3,0,0,10,0
314,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,7,5,4,4,0,0,0,6,0,0,10,0
315,21,0,0,0,0,8,0,0,0,0,0,0,2,0,0,11,4,9,8,0,0,0,0,0,0,0,21,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,26,0,0,0,0,9,2,0,0,0,0,0,0,0,0,15,8,9,9,0,0,0,0,0,0,0,26,0
318,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,7,3,9,0,0,0,2,0,0,4,13,0
319,23,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,6,6,11,0,0,0,0,0,6,2,15,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,12,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,2,4,6,2,0,0,0,0,0,0,12,4
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,13,5,2,0,0,0,0,0,0,0,0,0,0,6,0,0,4,3,6,0,0,0,4,0,3,0,6,0
324,12,4,3,1,0,0,1,0,0,0,0,0,0,3,0,0,1,7,4,0,0,0,2,2,0,0,8,0
325,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
326,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
327,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
328,11,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,4,5,2,0,0,0,0,1,4,0,6,1
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,1,1,1
331,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
332,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
333,14,0,2,0,0,0,0,0,0,0,0,0,0,10,0,2,7,5,2,0,0,4,0,4,2,4,4,0
334,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
335,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,1,1,1
336,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,1,1,1
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,24,3,5,0,0,0,0,0,0,0,2,0,0,12,2,0,8,7,9,0,0,4,12,8,1,0,3,13
339,19,1,4,0,0,0,9,0,0,0,0,1,0,4,0,0,6,6,6,0,1,3,6,8,4,0,0,14
340,18,1,7,0,0,0,2,0,0,0,0,2,0,3,3,0,8,2,8,0,0,5,7,5,2,0,4,12
341,25,3,7,4,1,0,2,0,0,0,0,4,0,2,2,0,5,12,8,0,0,14,4,16,0,2,3,15
342,10,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,3,3,4,0,4,0,4,4,0,0,2,7
343,5,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,4,0,1,0,0,4
344,35,2,11,0,0,0,5,0,0,0,0,1,0,16,0,0,8,12,15,0,2,2,16,11,4,0,4,25
345,25,5,7,2,0,0,7,0,0,0,0,0,0,2,2,0,0,12,13,0,0,5,17,5,2,0,1,20
346,15,3,3,0,0,0,0,0,0,0,0,0,0,9,0,0,8,2,5,0,0,0,13,0,0,0,2,8
347,21,2,0,0,0,5,7,2,0,3,0,0,0,0,2,0,6,7,8,0,1,2,18,2,0,1,0,10
348,10,0,2,2,0,0,0,0,0,0,0,3,0,2,0,1,4,4,2,0,0,7,1,7,2,0,0,7
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,1,1,0,0,2,1
354,11,5,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,3,7,0,0,0,0,7,2,0,2,0
355,12,2,0,0,0,2,0,0,0,1,0,0,0,0,0,7,4,5,3,0,1,0,0,0,0,2,10,5
356,42,0,0,0,0,10,0,0,0,0,0,0,6,0,0,26,16,16,10,3,4,0,0,0,1,4,37,5
357,21,0,0,0,0,5,0,0,0,2,0,0,0,0,0,14,5,11,5,0,0,0,0,4,0,0,17,0
358,37,0,0,0,0,9,0,0,0,0,0,0,0,0,0,28,14,14,9,4,0,0,4,0,0,0,33,1
359,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,2,4,5,0,0,1,1,2,1,0,8,0
360,23,0,0,0,0,7,0,0,0,0,0,0,0,0,0,16,4,12,7,1,0,1,0,2,2,0,18,0
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,74,0,0,0,0,28,2,0,0,0,0,0,0,0,0,44,23,23,28,1,0,2,2,10,2,1,59,0
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,27,0,0,0,0,9,2,0,0,0,0,0,0,0,0,16,8,10,9,6,2,8,0,6,3,0,18,3
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
